event_date,campaign_id,impressions,clicks,spend,purchases,revenue
2026-01-24,CMP002,7061,331,679.79,17,1483.97
2026-01-25,CMP002,5811,251,541.85,12,1033.87
2026-01-26,CMP002,7836,360,767.88,17,1529.14
2026-01-27,CMP002,7508,346,741.19,16,1478.89
2026-01-28,CMP002,7245,322,700.97,15,1352.42
2026-01-29,CMP002,7136,308,644.55,16,1483.40
2026-01-30,CMP002,8322,404,878.95,21,1963.98
2026-01-31,CMP002,6737,314,676.84,16,1446.89
2026-02-01,CMP002,7185,336,692.01,17,1491.33
2026-02-02,CMP002,8264,388,823.06,19,1671.46
2026-02-03,CMP002,7189,312,645.75,15,1355.42
2026-02-04,CMP002,7306,315,672.42,16,1377.25
2026-02-05,CMP002,7823,354,725.96,17,1517.78
2026-02-06,CMP002,8777,400,863.97,21,1940.20
2026-02-07,CMP002,6372,264,565.64,13,1211.35
2026-02-08,CMP002,7274,323,680.80,17,1545.80
2026-02-09,CMP002,7463,321,648.70,16,1416.40
2026-02-10,CMP002,8344,370,774.97,17,1473.03
2026-02-11,CMP002,8235,343,724.01,17,1457.65
2026-02-12,CMP002,8274,351,710.58,17,1511.50
2026-02-13,CMP002,7446,326,677.98,17,1568.56
2026-02-14,CMP002,7083,306,617.89,14,1264.97
2026-02-15,CMP002,7347,323,693.56,17,1553.22
2026-02-16,CMP002,8488,409,825.94,19,1650.56
2026-02-17,CMP002,7282,337,691.73,17,1560.52
2026-02-18,CMP002,8512,363,777.42,19,1644.09
2026-02-19,CMP002,8613,416,840.45,19,1677.84
2026-02-20,CMP002,8341,403,860.86,20,1723.68
2026-02-21,CMP002,6860,315,675.92,14,1304.14
2026-02-22,CMP002,6718,284,609.89,16,1418.00
2026-02-23,CMP002,7862,346,717.37,17,1583.49
2026-02-24,CMP002,8619,363,770.57,20,1859.17
2026-02-25,CMP002,8398,374,814.65,20,1758.61
2026-02-26,CMP002,8592,389,812.69,19,1749.51
2026-02-27,CMP002,7555,359,728.97,19,1775.26
2026-02-28,CMP002,6157,276,573.99,14,1200.62
2026-01-01,CMP003,10842,257,368.37,7,523.51
2026-01-02,CMP003,10913,282,379.33,8,635.24
2026-01-03,CMP003,7384,191,272.92,6,464.69
2026-01-04,CMP003,8487,212,287.14,7,517.19
2026-01-05,CMP003,10460,253,353.44,8,609.88
2026-01-06,CMP003,9821,255,362.79,7,519.81
2026-01-07,CMP003,9403,221,299.98,6,457.64
2026-01-08,CMP003,10629,252,352.35,7,543.95
2026-01-09,CMP003,11144,280,379.47,8,589.40
2026-01-10,CMP003,7664,182,255.50,5,371.42
2026-01-11,CMP003,9133,230,312.37,7,551.60
2026-01-12,CMP003,9978,264,368.70,8,604.38
2026-01-13,CMP003,9242,214,299.07,7,549.14
2026-01-14,CMP003,9762,227,306.45,7,513.34
2026-01-15,CMP003,10151,246,333.89,8,624.08
2026-01-16,CMP003,10255,268,375.88,8,604.99
2026-01-17,CMP003,8087,214,294.94,7,538.44
2026-01-18,CMP003,8416,218,298.07,7,516.63
2026-01-19,CMP003,10385,245,331.34,7,505.54
2026-01-20,CMP003,9881,251,343.85,7,543.01
2026-01-21,CMP003,10487,260,376.34,8,625.50
2026-01-22,CMP003,10300,264,367.39,9,687.05
2026-01-23,CMP003,10354,276,373.15,9,661.15
2026-01-24,CMP003,7821,203,279.39,6,438.87
2026-01-25,CMP003,8571,221,309.41,7,531.67
2026-01-26,CMP003,8993,208,287.06,6,444.62
2026-01-27,CMP003,9019,242,340.84,8,635.41
2026-01-28,CMP003,11199,288,388.37,8,623.58
2026-01-29,CMP003,9929,254,346.54,8,613.19
2026-01-30,CMP003,10323,258,356.81,7,523.13
2026-01-31,CMP003,8535,226,321.30,7,520.73
2026-02-01,CMP003,9076,238,332.00,7,522.13
2026-02-02,CMP003,9576,257,360.22,8,637.68
2026-02-03,CMP003,10378,261,356.27,8,599.60
2026-02-04,CMP003,10615,271,370.40,9,687.37
2026-02-05,CMP003,11026,273,370.62,9,716.36
2026-02-06,CMP003,10261,246,345.80,7,534.78
2026-02-07,CMP003,7399,200,279.14,6,438.56
2026-02-08,CMP003,8854,221,309.62,7,519.95
2026-02-09,CMP003,10803,291,409.07,8,600.92
2026-02-10,CMP003,11012,276,397.65,9,668.70
2026-02-11,CMP003,10696,264,369.83,9,705.93
2026-02-12,CMP003,9479,229,333.40,7,531.45
2026-02-13,CMP003,9157,230,323.34,7,534.31
2026-02-14,CMP003,8112,197,280.16,6,459.27
2026-02-15,CMP003,7676,200,285.48,5,387.80
2026-02-16,CMP003,10747,264,379.08,8,637.23
2026-02-17,CMP003,9989,231,325.73,7,551.67
2026-02-18,CMP003,10898,270,376.70,8,621.52
2026-02-19,CMP003,9784,251,350.54,7,556.96
2026-02-20,CMP003,9613,248,356.97,8,629.42
2026-02-21,CMP003,8907,218,310.54,6,467.83
2026-02-22,CMP003,8933,207,292.84,6,475.19
2026-02-23,CMP003,11194,291,394.31,9,693.15
2026-02-24,CMP003,10894,270,390.20,8,580.40
2026-02-25,CMP003,10711,259,352.32,8,609.89
2026-02-26,CMP003,10158,266,359.86,7,551.73
2026-02-27,CMP003,10287,247,335.93,8,605.64
2026-02-28,CMP003,7716,185,265.31,5,395.25
2026-01-01,CMP004,5734,228,281.48,15,1331.56
2026-01-02,CMP004,5683,236,303.15,15,1280.30
2026-01-03,CMP004,4385,184,231.32,11,975.24
2026-01-04,CMP004,5043,205,259.49,15,1290.23
2026-01-05,CMP004,5587,242,291.59,16,1422.98
2026-01-06,CMP004,5496,246,314.85,15,1334.13
2026-01-07,CMP004,5305,228,289.05,15,1349.16
2026-01-08,CMP004,5710,253,326.46,17,1517.89
2026-01-09,CMP004,5248,218,277.57,14,1181.50
2026-01-10,CMP004,4288,187,226.87,11,971.81
2026-01-11,CMP004,5020,212,272.01,15,1287.92
2026-01-12,CMP004,5929,248,316.11,17,1471.87
2026-01-13,CMP004,4992,225,291.75,14,1276.37
2026-01-14,CMP004,5796,262,335.48,19,1649.56
2026-01-15,CMP004,5884,228,283.97,15,1342.81
2026-01-16,CMP004,5727,244,315.74,17,1437.41
2026-01-17,CMP004,4222,164,206.01,11,1008.20
2026-01-18,CMP004,4208,164,211.71,11,948.85
2026-01-19,CMP004,5379,213,262.08,15,1319.03
2026-01-20,CMP004,4968,222,276.47,13,1163.50
2026-01-21,CMP004,5821,262,333.85,17,1444.32
2026-01-22,CMP004,5388,212,263.05,14,1287.63
2026-01-23,CMP004,4883,201,260.31,13,1184.66
2026-01-24,CMP004,4076,176,228.41,12,1041.08
2026-01-25,CMP004,4400,176,226.13,11,963.62
2026-01-26,CMP004,5715,245,294.52,16,1448.38
2026-01-27,CMP004,5162,204,246.20,13,1174.33
2026-01-28,CMP004,5113,205,252.74,14,1188.58
2026-01-29,CMP004,6029,233,282.97,16,1355.90
2026-01-30,CMP004,5171,206,247.73,14,1172.23
2026-01-31,CMP004,4824,194,236.18,12,1008.73
2026-02-01,CMP004,4772,201,250.77,19,1718.48
2026-02-02,CMP004,5517,217,280.92,19,1595.65
2026-02-03,CMP004,5874,261,325.15,23,2117.92
2026-02-04,CMP004,4920,206,261.33,18,1582.46
2026-02-05,CMP004,6041,236,297.56,19,1599.38
2026-02-06,CMP004,5203,223,274.85,20,1847.05
2026-02-07,CMP004,4543,189,228.67,17,1526.19
2026-02-08,CMP004,4892,210,267.14,19,1624.35
2026-02-09,CMP004,5436,218,271.49,19,1657.95
2026-02-10,CMP004,4966,206,254.91,19,1613.92
2026-02-11,CMP004,6058,237,286.61,22,1857.89
2026-02-12,CMP004,5815,256,322.21,23,2036.47
2026-02-13,CMP004,5275,208,263.44,18,1623.65
2026-02-14,CMP004,4908,213,268.39,20,1733.89
2026-02-15,CMP004,4594,184,224.93,17,1437.39
2026-02-16,CMP004,5956,245,308.07,23,2086.18
2026-02-17,CMP004,5956,269,339.31,25,2231.39
2026-02-18,CMP004,4875,219,268.66,20,1703.75
2026-02-19,CMP004,5768,235,282.14,20,1825.10
2026-02-20,CMP004,5588,231,291.83,19,1593.53
2026-02-21,CMP004,4776,191,235.71,16,1389.70
2026-02-22,CMP004,4750,208,251.37,18,1513.13
2026-02-23,CMP004,5048,216,265.08,20,1788.50
2026-02-24,CMP004,5481,228,290.81,19,1607.43
2026-02-25,CMP004,5407,219,273.46,20,1789.42
2026-02-26,CMP004,4900,202,242.56,18,1552.54
2026-02-27,CMP004,5119,203,250.26,17,1422.36
2026-02-28,CMP004,4777,190,241.37,16,1408.04
2026-01-01,CMP005,7560,595,110.20,52,3671.88
2026-01-02,CMP005,6191,496,89.82,51,3801.70
2026-01-03,CMP005,6029,446,77.20,39,2835.43
2026-01-04,CMP005,6155,470,87.44,48,3405.70
2026-01-05,CMP005,7579,545,98.29,53,3881.12
2026-01-06,CMP005,6681,488,85.51,45,3333.49
2026-01-07,CMP005,6352,477,84.83,49,3708.45
2026-01-08,CMP005,7536,594,103.90,53,3803.27
2026-01-09,CMP005,7172,560,98.20,55,4181.05
2026-01-10,CMP005,5732,447,80.13,45,3471.24
2026-01-11,CMP005,5829,447,82.80,44,3297.42
2026-01-12,CMP005,6414,448,79.37,42,3037.97
2026-01-13,CMP005,6254,470,84.27,43,3041.00
2026-01-14,CMP005,7557,528,97.74,54,4041.96
2026-01-15,CMP005,7012,523,96.34,50,3846.47
2026-01-16,CMP005,6916,544,96.52,53,3912.44
2026-01-17,CMP005,5259,367,68.17,32,2330.93
2026-01-18,CMP005,6035,453,79.89,40,2941.58
2026-01-19,CMP005,6898,519,92.47,46,3330.10
2026-01-20,CMP005,6847,500,92.08,48,3604.32
2026-01-21,CMP005,6271,440,77.83,43,3253.19
2026-01-22,CMP005,7263,580,103.01,59,4402.12
2026-01-23,CMP005,6398,468,85.58,49,3586.82
2026-01-24,CMP005,5871,471,83.94,43,3274.81
2026-01-25,CMP005,6171,475,87.13,48,3617.86
2026-01-26,CMP005,7044,541,96.30,51,3722.14
2026-01-27,CMP005,6463,463,83.25,48,3454.87
2026-01-28,CMP005,6391,447,77.89,45,3420.20
2026-01-29,CMP005,7563,602,106.94,52,3950.48
2026-01-30,CMP005,6380,469,86.66,42,3192.26
2026-01-31,CMP005,6166,438,78.28,41,3087.51
2026-02-01,CMP005,5378,400,73.43,36,2650.39
2026-02-02,CMP005,7057,513,92.11,52,3976.95
2026-02-03,CMP005,6778,545,97.80,57,4125.95
2026-02-04,CMP005,6802,512,94.50,53,4040.15
2026-02-05,CMP005,6393,460,85.28,45,3348.16
2026-02-06,CMP005,6332,501,88.63,51,3873.30
2026-02-07,CMP005,5427,433,77.55,38,2937.53
2026-02-08,CMP005,5357,399,69.10,37,2615.68
2026-02-09,CMP005,7003,503,89.63,53,3736.96
2026-02-10,CMP005,7724,611,112.54,60,4279.09
2026-02-11,CMP005,6642,524,91.59,52,3927.09
2026-02-12,CMP005,6914,478,84.36,42,3212.11
2026-02-13,CMP005,7082,550,95.92,53,3838.89
2026-02-14,CMP005,5466,380,70.01,36,2652.58
2026-02-15,CMP005,5204,416,71.98,40,2964.55
2026-02-16,CMP005,6566,464,84.29,43,3099.45
2026-02-17,CMP005,6860,528,98.65,46,3256.84
2026-02-18,CMP005,7044,529,95.63,55,4025.41
2026-02-19,CMP005,6950,533,94.05,56,3943.53
2026-02-20,CMP005,7485,547,99.47,54,4104.49
2026-02-21,CMP005,6064,443,80.03,38,2900.16
2026-02-22,CMP005,5292,415,75.87,39,2924.02
2026-02-23,CMP005,7523,525,94.18,53,3840.99
2026-02-24,CMP005,6234,445,82.88,38,2816.33
2026-02-25,CMP005,7822,591,108.54,53,3800.85
2026-02-26,CMP005,6760,530,94.12,54,3845.94
2026-02-27,CMP005,6778,540,100.27,54,3950.70
2026-02-28,CMP005,6393,479,89.15,45,3336.42
2026-01-15,CMP006,4289,244,59.04,13,912.49
2026-01-16,CMP006,4044,216,52.51,12,800.21
2026-01-17,CMP006,3361,183,43.40,11,713.77
2026-01-18,CMP006,3571,192,45.25,13,926.43
2026-01-19,CMP006,4430,227,53.88,14,980.66
2026-01-20,CMP006,4172,246,59.55,14,978.78
2026-01-21,CMP006,3553,182,43.21,12,806.44
2026-01-22,CMP006,4065,227,56.44,14,939.82
2026-01-23,CMP006,4253,237,56.42,14,966.24
2026-01-24,CMP006,3083,159,38.16,10,672.32
2026-01-25,CMP006,3329,176,42.06,10,713.75
2026-01-26,CMP006,3794,223,51.90,13,915.19
2026-01-27,CMP006,3954,231,53.61,14,969.32
2026-01-28,CMP006,4332,231,53.51,13,887.73
2026-01-29,CMP006,4376,254,63.04,16,1102.98
2026-01-30,CMP006,4282,236,55.29,13,852.08
2026-01-31,CMP006,3509,178,42.27,11,770.71
2026-02-01,CMP006,3321,186,43.96,10,713.97
2026-02-02,CMP006,4210,233,57.37,15,976.52
2026-02-03,CMP006,4453,250,60.86,15,1004.14
2026-02-04,CMP006,4363,251,58.71,15,1067.56
2026-02-05,CMP006,3935,231,53.77,13,853.33
2026-02-06,CMP006,3678,197,46.70,12,851.98
2026-02-07,CMP006,3591,208,50.46,12,820.15
2026-02-08,CMP006,2985,159,38.17,10,657.47
2026-02-09,CMP006,4424,230,56.17,14,962.01
2026-02-10,CMP006,4329,241,55.66,15,973.64
2026-02-11,CMP006,4136,230,56.38,14,944.06
2026-02-12,CMP006,4133,227,53.56,14,995.47
2026-02-13,CMP006,3984,230,54.31,14,911.35
2026-02-14,CMP006,2934,160,37.49,10,687.25
2026-02-15,CMP006,3132,178,43.95,11,783.56
2026-02-16,CMP006,3646,196,46.36,12,813.26
2026-02-17,CMP006,3777,199,46.96,11,739.33
2026-02-18,CMP006,4111,217,50.66,14,935.57
2026-02-19,CMP006,4075,217,52.07,14,953.40
2026-02-20,CMP006,3999,213,52.94,12,816.44
2026-02-21,CMP006,3647,191,44.19,11,747.62
2026-02-22,CMP006,3581,202,48.62,12,844.33
2026-02-23,CMP006,3934,230,56.37,14,939.24
2026-02-24,CMP006,3905,217,52.30,12,781.20
2026-02-25,CMP006,4004,230,57.36,13,899.95
2026-02-26,CMP006,3634,215,52.82,13,869.78
2026-02-27,CMP006,4421,253,60.76,14,952.01
2026-02-28,CMP006,2922,151,36.16,9,609.37
2026-01-01,CMP007,18459,167,134.81,0,0.00
2026-01-02,CMP007,20119,188,148.43,0,0.00
2026-01-03,CMP007,14875,138,113.19,0,0.00
2026-01-04,CMP007,15376,149,122.03,0,0.00
2026-01-05,CMP007,18812,156,129.46,0,0.00
2026-01-06,CMP007,19193,175,140.94,0,0.00
2026-01-07,CMP007,18557,170,132.17,0,0.00
2026-01-08,CMP007,15976,154,118.46,1,68.70
2026-01-09,CMP007,16494,153,125.09,1,72.94
2026-01-10,CMP007,16081,150,116.53,1,67.95
2026-01-11,CMP007,14140,131,103.24,1,67.71
2026-01-12,CMP007,19780,174,142.23,1,71.55
2026-01-13,CMP007,18619,173,134.99,1,68.23
2026-01-14,CMP007,18251,157,123.57,1,68.52
2026-01-15,CMP007,16735,156,123.29,1,73.04
2026-01-16,CMP007,19276,167,135.49,1,69.16
2026-01-17,CMP007,16461,156,127.84,1,68.53
2026-01-18,CMP007,14008,130,103.52,1,68.30
2026-01-19,CMP007,17910,154,127.47,1,71.37
2026-01-20,CMP007,16433,151,118.31,1,71.19
2026-01-21,CMP007,18134,167,132.67,1,71.52
2026-01-22,CMP007,16274,153,122.89,1,73.00
2026-01-23,CMP007,17598,169,134.96,1,67.90
2026-01-24,CMP007,16403,143,118.13,1,67.13
2026-01-25,CMP007,15023,136,112.60,1,72.89
2026-01-26,CMP007,16596,158,130.64,1,73.48
2026-01-27,CMP007,17555,158,131.07,1,72.98
2026-01-28,CMP007,19628,163,126.30,1,73.38
2026-01-29,CMP007,17069,166,132.74,1,73.07
2026-01-30,CMP007,19517,175,135.66,1,67.64
2026-01-31,CMP007,14614,126,102.71,1,72.04
2026-02-01,CMP007,15000,141,116.01,1,72.78
2026-02-02,CMP007,19413,175,141.90,1,67.79
2026-02-03,CMP007,16447,144,113.00,1,68.15
2026-02-04,CMP007,19096,184,149.82,1,66.58
2026-02-05,CMP007,18664,173,134.17,1,68.65
2026-02-06,CMP007,17591,158,128.46,1,68.68
2026-02-07,CMP007,13405,129,104.15,1,68.03
2026-02-08,CMP007,13462,114,91.97,1,69.41
2026-02-09,CMP007,18213,163,132.11,1,68.03
2026-02-10,CMP007,16909,158,122.17,1,69.63
2026-02-11,CMP007,18880,158,121.97,1,70.33
2026-02-12,CMP007,18024,164,129.40,1,70.14
2026-02-13,CMP007,16342,140,108.33,1,70.07
2026-02-14,CMP007,15854,142,113.21,1,66.90
2026-02-15,CMP007,14627,138,109.48,1,72.22
2026-01-10,CMP008,5644,114,106.95,5,377.77
2026-01-11,CMP008,5962,128,125.82,5,376.50
2026-01-12,CMP008,6358,133,131.18,6,480.91
2026-01-13,CMP008,6376,138,134.98,6,493.28
2026-01-14,CMP008,6306,130,123.89,6,481.28
2026-01-15,CMP008,6263,119,113.31,5,404.00
2026-01-16,CMP008,6067,112,104.68,5,401.85
2026-01-17,CMP008,5387,108,100.53,5,388.92
2026-01-18,CMP008,5043,108,99.42,5,407.22
2026-01-19,CMP008,6374,133,121.45,6,460.07
2026-01-20,CMP008,5877,109,105.23,5,377.17
2026-01-21,CMP008,6875,135,125.35,6,491.24
2026-01-22,CMP008,5808,116,112.98,5,404.14
2026-01-23,CMP008,6217,126,117.98,6,464.60
2026-01-24,CMP008,4874,100,93.48,4,302.13
2026-01-25,CMP008,5904,125,119.95,6,470.55
2026-01-26,CMP008,6493,140,134.82,7,568.80
2026-01-27,CMP008,6217,123,115.70,5,405.05
2026-01-28,CMP008,6459,136,131.35,6,488.49
2026-01-29,CMP008,7147,144,137.43,7,532.77
2026-01-30,CMP008,6099,116,113.92,5,408.71
2026-01-31,CMP008,4809,100,93.24,4,321.49
2026-02-01,CMP008,5462,116,112.51,5,403.86
2026-02-02,CMP008,6592,131,122.79,6,495.66
2026-02-03,CMP008,5744,123,113.27,6,497.68
2026-02-04,CMP008,6467,124,115.02,6,493.68
2026-02-05,CMP008,6581,137,130.50,6,467.33
2026-02-06,CMP008,6128,123,113.10,6,496.81
2026-02-07,CMP008,5291,112,105.30,5,391.60
2026-02-08,CMP008,5410,103,95.98,4,329.74
2026-02-09,CMP008,6623,131,122.76,5,390.25
2026-02-10,CMP008,7020,140,134.97,6,462.50
2026-02-11,CMP008,7002,150,142.39,7,534.65
2026-02-12,CMP008,6960,132,125.28,6,493.76
2026-02-13,CMP008,6566,134,122.55,5,408.69
2026-02-14,CMP008,5899,121,114.14,6,490.24
2026-02-15,CMP008,4986,103,97.89,4,311.99
2026-02-16,CMP008,6684,137,129.98,6,473.42
2026-02-17,CMP008,5730,116,110.46,5,386.10
2026-02-18,CMP008,7245,134,129.07,6,488.51
2026-02-19,CMP008,7139,134,123.72,6,459.40
2026-02-20,CMP008,6541,137,129.08,6,467.98
2026-02-21,CMP008,5210,105,97.56,5,402.27
2026-02-22,CMP008,5775,118,114.43,6,454.73
2026-02-23,CMP008,6312,127,115.92,5,382.02
2026-02-24,CMP008,6500,129,123.20,6,490.97
2026-02-25,CMP008,5869,118,109.51,5,409.54
2026-02-26,CMP008,7105,142,130.31,6,494.17
2026-02-27,CMP008,7123,144,141.49,6,465.21
2026-02-28,CMP008,5920,120,115.94,6,469.18
